mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-6.021,1.134,-5.343,3.296,0.9415,3.941,hand_wash
-4.322,1.251,-6.662,2.333,-0.9405,5.503,hand_wash
-5.182,1.46,-5.348,2.814,-1.759,5.972,hand_wash
-4.924,1.775,-6.25,2.507,1.698,4.666,hand_wash
-5.001,1.216,-6.554,1.863,-5.237,1.968,hand_wash
-6.717,1.426,-0.3573,2.947,5.56,2.311,hand_wash
-3.847,2.784,-7.173,2.491,-2.17,4.995,hand_wash
-4.025,3.568,-6.948,2.109,-4.847,2.698,hand_wash
-3.47,2.444,-6.856,2.116,-5.476,2.343,hand_wash
-4.154,2.226,-6.502,2.371,-5.968,2.044,hand_wash
-4.373,4.1,-5.745,4.522,-1.052,6.194,hand_wash
-5.308,1.858,-5.72,3.582,-0.4604,4.81,hand_wash
-5.176,1.201,-5.852,2.201,-0.6326,5.654,hand_wash
-4.457,1.443,-6.432,2.164,1.574,4.146,hand_wash
-5.107,0.6093,-6.056,1.321,-5.214,2.18,hand_wash
-4.306,1.385,-6.076,2.179,-3.527,4.741,hand_wash
-4.675,1.477,-5.455,2.77,2.798,4.752,hand_wash
-4.205,1.369,-6.076,1.893,-4.126,4.396,hand_wash
-4.671,1.145,-6.257,2.42,-0.5433,5.214,hand_wash
-5.903,1.459,-1.207,2.748,6.332,2.09,hand_wash
-6.123,1.428,-5.129,3.328,2.203,4.554,hand_wash
-3.129,2.127,-7.858,2.137,-1.412,1.344,hand_wash
-4.762,2.211,-7.615,1.929,-3.18,2.726,hand_wash
-5.018,1.045,-6.442,1.433,-3.85,3.137,hand_wash
-4.717,1.276,-6.426,2.02,0.1918,4.946,hand_wash
-4.884,1.511,-6.763,2.166,-2.182,4.238,hand_wash
-5.953,1.344,-4.264,3.84,-0.6001,5.931,hand_wash
-4.979,1.815,-5.845,2.663,1.878,4.303,hand_wash
-4.831,1.764,-6.263,2.033,-1.204,5.382,hand_wash
-4.533,1.448,-6.04,2.573,-2.585,5.015,hand_wash
-5.671,1.199,-5.545,2.524,0.3669,5.618,hand_wash
-4.308,1.669,-6.114,2.462,1.356,4.354,hand_wash
-4.54,0.911,-6.545,1.986,-5.739,1.802,hand_wash
-5.018,1.863,-2.889,3.268,5.504,4.441,hand_wash
-4.288,1.552,-6.727,3.78,0.1435,4.901,hand_wash
-4.898,1.579,-7.575,2.648,-2.205,3.502,hand_wash
-5.037,1.588,-7.549,2.687,-1.376,3.223,hand_wash
-3.941,2.664,-7.98,3.282,0.7206,3.174,hand_wash
-3.649,2.93,-8.671,3.844,-2.126,4.458,hand_wash
-2.98,2.026,-7.187,6.526,3.085,4.105,hand_wash
-2.286,2.149,-8.601,3.034,-1.98,3.656,hand_wash
-3.264,1.89,-4.727,4.707,5.442,5.691,hand_wash
-3.35,1.77,-7.733,2.234,-2.806,3.891,hand_wash
-3.667,2.628,-7.148,2.215,-5.533,2.478,hand_wash
-3.902,2.464,-6.157,2.791,-6.027,3.034,hand_wash
-4.056,2.539,-5.519,2.391,-6.731,2.612,hand_wash
-4.22,1.56,-6.864,2.676,-0.927,5.103,hand_wash
-3.484,1.72,-7.213,2.536,-2.176,5.286,hand_wash
-2.922,2.463,-6.259,3.066,-6.292,3.317,hand_wash
-3.365,4.085,-5.019,3.693,-7.212,3.769,hand_wash
-3.455,1.895,-5.924,2.623,-7.235,3.202,hand_wash
-3.638,4.642,-4.255,2.344,-7.938,4.609,hand_wash
-6.13,1.231,-5.666,2.931,1.371,4.104,hand_wash
-5.226,1.834,-6.082,2.049,-1.881,4.635,hand_wash
-5.713,1.226,-5.389,3.105,-4.286,4.329,hand_wash
-4.938,1.582,-6.548,2.46,0.9349,3.989,hand_wash
-5.037,0.7103,-5.905,1.333,-5.458,1.933,hand_wash
-5.145,0.8948,-2.133,2.412,7.098,1.63,hand_wash
0.7035,1.525,2.69,1.383,9.173,2.283,not_hand_wash
1.041,1.014,2.39,1.368,9.226,1.701,not_hand_wash
1.603,1.325,1.181,2.915,8.671,2.21,not_hand_wash
3.878,0.8275,-5.787,1.599,5.963,1.427,not_hand_wash
3.285,1.55,-2.849,1.121,7.658,1.491,not_hand_wash
-6.52,3.765,-1.121,2.318,6.668,2.907,not_hand_wash
-4.039,4.03,0.2047,1.252,7.666,1.923,not_hand_wash
-6.097,3.581,-0.9373,0.9667,6.725,2.679,not_hand_wash
-10.14,2.883,0.6157,1.449,0.5118,1.33,not_hand_wash
