mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-3.401,2.851,-3.874,4.36,-7.255,4.939,hand_wash
-5.183,1.443,-5.783,2.886,-0.5904,5.331,hand_wash
-5.485,1.726,-4.515,3.763,0.5705,5.479,hand_wash
-5.39,1.114,-6.317,2.393,-1.312,4.374,hand_wash
-5.086,1.388,-6.397,1.666,-1.837,4.059,hand_wash
-5.015,1.481,-1.693,3.318,4.545,5.905,hand_wash
-5.559,1.333,-6.229,1.56,-2.935,3.668,hand_wash
-5.016,1.102,-4.18,3.652,2.641,5.29,hand_wash
-5.415,1.433,-6.374,1.797,-1.018,4.121,hand_wash
-5.028,1.132,-6.415,1.481,-1.945,4.193,hand_wash
-5.413,1.288,-5.723,2.248,-3.351,4.125,hand_wash
-5.678,1.373,-4.312,3.542,1.787,5.324,hand_wash
-3.853,2.9,-4.709,4.22,-6.531,4.684,hand_wash
-3.366,2.414,-5.252,3.146,-6.387,4.823,hand_wash
-3.791,2.975,-7.015,2.201,-4.186,3.775,hand_wash
-4.969,1.565,-6.033,2.731,0.1633,4.979,hand_wash
-4.699,1.265,-5.822,2.187,-1.933,5.358,hand_wash
-4.884,1.48,-4.708,3.276,0.2736,5.924,hand_wash
-5.197,1.642,-5.753,2.456,-2.255,4.743,hand_wash
-4.66,2.333,-6.907,2.818,-0.7598,3.785,hand_wash
-4.878,1.296,-6.625,1.848,-2.235,4.265,hand_wash
-5.223,1.714,-5.504,3.048,-0.1086,5.398,hand_wash
-4.854,1.587,-5.83,2.523,-0.2876,5.339,hand_wash
-5.4,1.561,-5.435,2.725,-1.849,5.24,hand_wash
-4.977,1.325,-5.558,1.966,-2.444,5.186,hand_wash
-5.527,1.656,-5.908,2.534,-0.4998,4.496,hand_wash
-5.552,1.482,-6.512,2.012,-1.975,3.406,hand_wash
-5.683,1.222,-6.383,2.051,-0.4779,3.612,hand_wash
1.922,3.842,-3.522,5.88,3.047,5.282,not_hand_wash
-0.4426,5.572,-2.439,3.465,6.301,3.864,not_hand_wash
-0.9295,3.061,-4.284,2.923,6.748,2.663,not_hand_wash
0.8265,0.3357,-2.634,2.446,8.538,1.387,not_hand_wash
0.7664,0.05796,-2.951,0.04862,8.843,0.05752,not_hand_wash
1.014,0.1883,-4.505,1.573,7.8,1.167,not_hand_wash
1.164,0.1107,-6.622,0.3839,6.178,0.4133,not_hand_wash
